Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
Renault,Rare,2017,Crossover,129000.0,1500.0,Diesel,Automatic,10990.0,25800.0,large,0.6,685556.2000000001
Lexus,CT Series,2012,Hatchback,193000.0,1800.0,Hybrid,Automatic,10950.0,19300.0,large,0.6,683061.0
Volvo,XC60,2010,SUV,202000.0,2400.0,Diesel,Automatic,14750.0,16833.333333333332,medium,0.9,920105.0
Dacia,Rare,2013,Minivan,209000.0,1500.0,Diesel,Manual,5750.0,23222.222222222223,large,0.6,358685.0
Hyundai,Rare,2010,Hatchback,145000.0,1400.0,Petrol,Manual,4750.0,12083.333333333334,medium,0.6,296305.0
Lexus,CT Series,2012,Hatchback,194000.0,1800.0,Hybrid,Automatic,9999.0,19400.0,large,0.6,623737.62
Volvo,XC90,2008,SUV,249000.0,2400.0,Diesel,Manual,11500.0,17785.714285714286,medium,0.9,717370.0
Hyundai,Getz,2008,Hatchback,142000.0,1100.0,Petrol,Manual,3499.0,10142.857142857143,low,0.6,218267.62
Mercedes,A Class,2005,Hatchback,260000.0,1500.0,Metan/Propan,Automatic,4750.0,15294.117647058823,medium,0.6,296305.0
Mercedes,C Class,2002,Coupe,240000.0,2300.0,Petrol,Manual,3499.0,12000.0,medium,0.9,218267.62
Jaguar,Rare,2012,Sedan,120000.0,2200.0,Diesel,Automatic,15999.0,12000.0,medium,0.9,998017.62
Mercedes,E Class,2010,Sedan,182000.0,1800.0,Petrol,Automatic,11750.0,15166.666666666666,medium,0.6,732965.0
Skoda,Octavia,2005,Universal,300000.0,2000.0,Petrol,Manual,4999.0,17647.058823529413,medium,0.6,311837.62
Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,Manual,4850.0,22142.85714285714,large,0.6,302543.0
Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,Automatic,12300.0,23250.0,large,0.6,767274.0
Volkswagen,Rare,2011,Pickup,150000.0,2000.0,Diesel,Manual,12800.0,13636.363636363636,medium,0.6,798464.0
Mercedes,Vito,2000,Minivan,258000.0,2200.0,Diesel,Automatic,2999.0,11727.272727272728,medium,0.9,187077.62
Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,Manual,13890.0,25166.666666666668,large,0.6,866458.2000000001
BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,Automatic,27650.0,11500.0,medium,0.6,1724807.0
Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,Manual,4999.0,21425.83333333333,large,0.6,311837.62
