Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
27,67,2012,3,124000.0,1600.0,4,0,9999.0,12400.0,2,0.6,623737.62
1,15,1997,10,300000.0,1800.0,3,0,2700.0,12000.0,2,0.6,168426.0
28,23,2012,11,200000.0,1300.0,0,1,6000.0,20000.0,0,0.6,374280.0
5,101,2006,11,240000.0,1600.0,0,1,2700.0,15000.0,2,0.6,168426.0
23,31,2015,10,75000.0,2000.0,4,0,19000.0,10714.285714285714,2,0.6,1185220.0
2,126,2009,9,192000.0,200.0,0,1,11000.0,14769.23076923077,2,0.6,686180.0
11,101,2011,4,130000.0,1400.0,3,1,4700.0,11818.181818181818,2,0.6,293186.0
44,130,2015,9,180000.0,2000.0,4,0,26500.0,25714.285714285717,0,0.6,1653070.0
33,80,2014,11,210000.0,1500.0,0,1,7199.0,26250.0,0,0.6,449073.62
2,9,2017,10,77000.0,2000.0,0,0,33000.0,15400.0,2,0.6,2058540.0
14,106,2012,9,180000.0,2200.0,0,0,16750.0,18000.0,2,0.9,1044865.0
36,113,2012,10,196000.0,1600.0,0,1,9950.0,19600.0,0,0.6,620681.0
2,126,2015,3,159000.0,1996.0,0,0,20500.0,22714.285714285717,0,0.6,1278790.0
27,101,2013,4,172000.0,1461.0,0,1,6299.0,19111.11111111111,0,0.6,392931.62
41,102,2019,3,19000.0,2500.0,2,0,30000.0,6333.333333333333,1,0.9,1871400.0
44,130,2015,9,155000.0,1996.0,4,0,27800.0,22142.85714285714,0,0.6,1734164.0
20,36,2016,4,64000.0,1798.0,2,0,16000.0,10666.666666666666,2,0.6,998080.0
33,101,2011,4,174000.0,1461.0,0,1,4550.0,15818.181818181818,2,0.6,283829.0
41,24,2010,4,187000.0,1400.0,0,1,6500.0,15583.333333333334,2,0.6,405470.0
41,24,2007,4,235000.0,1500.0,0,1,5400.0,15666.666666666666,2,0.6,336852.0
2,12,2017,10,92000.0,2993.0,0,0,45000.0,18400.0,2,0.9,2807100.0
43,37,2014,6,180000.0,1600.0,0,1,5800.0,22500.0,0,0.6,361804.0
28,46,2011,4,125000.0,1300.0,0,1,3750.0,11363.636363636364,2,0.6,233925.0
13,35,2013,3,192000.0,2200.0,0,0,17500.0,21333.33333333333,0,0.9,1091650.0
25,101,1995,6,300000.0,2000.0,3,1,2500.0,11111.111111111111,2,0.6,155950.0
43,90,2007,4,240000.0,1400.0,0,1,3750.0,16000.0,2,0.6,233925.0
14,106,2015,3,161000.0,2000.0,0,0,18000.0,23000.0,0,0.6,1122840.0
22,10,2014,10,230000.0,2200.0,0,0,13000.0,28750.0,0,0.9,810940.0
43,37,2015,5,152000.0,1600.0,0,1,10300.0,21714.285714285717,0,0.6,642514.0
2,9,2006,10,312000.0,2500.0,4,0,7800.0,19500.0,0,0.9,486564.0
2,9,2002,10,251000.0,2499.0,0,1,4650.0,12550.0,2,0.9,290067.0
23,48,2019,10,50000.0,2200.0,0,0,37000.0,16666.666666666668,2,0.9,2308060.0
43,61,2009,11,180000.0,1400.0,4,1,5300.0,13846.153846153846,2,0.6,330614.0
41,44,2007,11,226000.0,1400.0,0,1,5500.0,15066.666666666666,2,0.6,343090.0
1,15,2004,0,200000.0,1800.0,4,0,6500.0,11111.111111111111,2,0.6,405470.0
43,37,2012,6,163500.0,200.0,0,1,14200.0,16350.0,2,0.6,885796.0
41,24,2013,4,133000.0,1798.0,2,0,10000.0,14777.777777777776,2,0.6,623800.0
43,66,2013,10,131000.0,1400.0,2,0,8500.0,14555.555555555557,2,0.6,530230.0
28,23,2006,11,368000.0,1300.0,0,1,3650.0,23000.0,0,0.6,227687.0
2,6,2006,10,180000.0,300.0,4,0,6000.0,11250.0,2,0.6,374280.0
36,50,2011,11,160000.0,1200.0,0,1,4999.0,14545.454545454546,2,0.6,311837.62
23,48,2016,10,161024.0,2200.0,0,0,26950.0,26837.33333333333,0,0.9,1681141.0
13,41,2006,4,195000.0,1400.0,4,1,5400.0,12187.5,2,0.6,336852.0
11,54,2015,10,124000.0,2000.0,5,0,11499.0,17714.285714285714,2,0.6,717307.62
11,54,2003,4,330000.0,1400.0,0,0,4100.0,17368.42105263158,2,0.6,255758.0
6,76,2005,10,21548.0,1400.0,3,1,2200.0,1267.529411764706,1,0.6,137236.0
43,61,2004,4,200000.0,1399.0,4,1,4200.0,11111.111111111111,2,0.6,261996.0
23,57,2014,3,131000.0,2200.0,0,0,19900.0,16375.0,2,0.9,1241362.0
41,101,1998,10,268000.0,1800.0,4,1,2650.0,11166.666666666666,2,0.6,165307.0
